FACULTY,WAEC1,WAEC2,WAEC3,WAEC4,WAEC5,UTME1,UTME2,UTME3,COURSE,SCHOOL
Administration,English,Mathematics,Economics,Business,Commerce,Mathematics,Economics,Accounting,ACCOUNTING,AAUA
Administration,English,Mathematics,Economics,Business,Commerce,Mathematics,Economics,Government,ACCOUNTING,ABSU
Administration,English,Mathematics,Economics,Business,Commerce,Mathematics,Economics,Government,ACCOUNTING,ABU
Administration,English,Mathematics,Economics,Business,Commerce,Mathematics,Economics,Government,ACCOUNTING,ABUJA
Administration,English,Mathematics,Economics,Business,Commerce,Mathematics,Economics,Goeography,ACCOUNTING,COOU
Administration,English,Mathematics,Economics,Geography,Business,Mathematics,Economics,Geography,BANKING-FINANCE,AAUA
Administration,English,Mathematics,Economics,Geography,Business,Mathematics,Economics,Government,BANKING-FINANCE,AUN
Administration,English,Mathematics,Economics,Geography,Business,Mathematics,Economics,Government,BANKING-FINANCE,CARITAS
Administration,English,Mathematics,Economics,Commerce,Business,Mathematics,Economics,Government,BANKING-FINANCE,DELSU
Administration,English,Mathematics,Economics,Commerce,Business,Mathematics,Economics,Government,BANKING-FINANCE,EBSU
Administration,English,Mathematics,Economics,Accounting,Business,Mathematics,Economics,Government,BANKING-FINANCE,ELIZADE
Administration,English,Mathematics,Economics,Commerce,Geography,"Mathematics,",Economics,Geography,ACTUARIAL-SCIENCE,BENIN
Administration,English,Mathematics,Economics,Commerce,Geography,"Mathematics,",Economics,Geography,ACTUARIAL-SCIENCE,CRAWFORD
Administration,English,Mathematics,Economics,Commerce,Government,"Mathematics,",Economics,Geography,ACTUARIAL-SCIENCE,EDWIN CLARK
Administration,English,Mathematics,Economics,Commerce,Government,"Mathematics,",Economics,Government,ACTUARIAL-SCIENCE,JOS
Administration,English,Mathematics,Economics,Commerce,Government,"Mathematics,",Economics,Government,ACTUARIAL-SCIENCE,KWASU
Administration,English,Mathematics,Economics,Accounting,Government,"Mathematics,",Economics,Government,BUSINESS-MANAGEMENT,AUN
Administration,English,Mathematics,Economics,Accounting,Government,"Mathematics,",Economics,Government,BUSINESS-MANAGEMENT,BSU
